"subject","item","age","condition","RTs"
9,1,27,"2",446
8,12,22,"2",455
8,28,22,"1",484
9,3,27,"2",505
8,24,22,"1",507
9,29,27,"1",509
8,14,22,"1",519
9,15,27,"2",553
9,27,27,"1",559
8,14,22,"2",561
23,28,24,"2",561
8,18,22,"2",564
23,28,24,"1",571
9,13,27,"2",572
8,12,22,"1",581
8,16,22,"2",581
8,10,22,"2",587
21,28,27,"2",591
19,14,18,"1",592
9,17,27,"1",593
11,20,48,"1",593
8,20,22,"1",597
10,1,26,"2",598
23,24,24,"1",600
10,13,26,"1",606
9,15,27,"1",611
4,27,29,"1",613
11,18,48,"1",615
11,28,48,"2",615
14,3,29,"1",625
11,14,48,"2",625
23,16,24,"1",626
7,24,24,"1",627
9,11,27,"1",629
5,20,26,"2",629
9,7,27,"1",634
21,24,27,"1",635
8,30,22,"2",642
9,11,27,"2",644
11,24,48,"2",647
7,20,24,"1",648
9,21,27,"1",648
8,6,22,"2",651
23,12,24,"2",651
19,28,18,"2",658
4,23,29,"1",660
14,1,29,"2",661
20,29,28,"2",663
26,3,28,"1",666
23,20,24,"2",669
23,26,24,"2",670
14,17,29,"1",674
5,28,26,"1",680
20,27,28,"2",680
20,13,28,"1",683
4,3,29,"1",684
20,29,28,"1",684
5,12,26,"1",685
10,15,26,"1",690
11,22,48,"1",690
10,13,26,"2",691
10,9,26,"2",691
8,8,22,"2",692
9,17,27,"2",693
23,12,24,"1",695
21,22,27,"2",695
23,4,24,"2",696
23,22,24,"2",700
11,30,48,"2",702
8,26,22,"1",707
6,27,27,"2",707
6,3,27,"1",709
20,21,28,"1",710
14,1,29,"1",712
8,18,22,"1",715
5,20,26,"1",717
8,26,22,"2",717
5,24,26,"1",720
23,18,24,"1",721
4,11,29,"2",723
9,19,27,"2",727
5,18,26,"1",731
23,10,24,"1",732
9,21,27,"2",732
19,20,18,"1",736
4,5,29,"1",738
20,17,28,"2",741
7,30,24,"1",743
12,1,22,"2",744
8,20,22,"2",745
4,1,29,"1",747
21,30,27,"2",750
17,20,27,"2",751
23,4,24,"1",753
5,30,26,"1",754
23,10,24,"2",755
14,9,29,"2",756
23,26,24,"1",761
9,19,27,"1",762
21,26,27,"1",762
19,16,18,"2",762
